station_id,lat,long
onon_1,43.1147,-76.2444
onon_2,43.111801,-76.230003
onon_3,43.105499,-76.220901
onon_4,43.099998,-76.210502
onon_5,43.0946,-76.199996
onon_6,43.091499,-76.195396
onon_7,43.083801,-76.188301
onon_8,43.077701,-76.178802
onon_9,43.063301,-76.182197
onon_10,43.067001,-76.195297
onon_11,43.0732,-76.204696
onon_12,43.081298,-76.210998
onon_13,43.0843,-76.215797
onon_14,43.0886,-76.227996
onon_15,43.0956,-76.236099
onon_16,43.103698,-76.2425
caz_1,42.9754753,-75.8810883
caz_2,42.9694405,-75.8783035
caz_3,42.9636879,-75.8735886
caz_4,42.9581223,-75.8675842
caz_5,42.9521637,-75.8642654
caz_6,42.9459534,-75.862709
caz_7,42.9395752,-75.8623123
caz_8,42.9332275,-75.861702
caz_9,42.9259109,-75.8677902
caz_10,42.9315414,-75.8733521
caz_11,42.9377441,-75.8749619
caz_12,42.9440193,-75.8760834
caz_13,42.9502983,-75.8771744
caz_14,42.9567757,-75.8768845
caz_15,42.9628563,-75.8793335
caz_16,42.9688835,-75.8821564
ot_1,42.8937111,-76.31353
ot_2,42.8893509,-76.3006973
ot_3,42.8821716,-76.2922134
ot_4,42.87389,-76.28724
ot_5,42.8654137,-76.278923
ot_6,42.858902,-76.2694092
ot_7,42.8516159,-76.2610855
ot_8,42.8461266,-76.25
ot_9,42.8366661,-76.2450256
ot_10,42.8404732,-76.2587051
ot_11,42.846508,-76.2689514
ot_12,42.8524895,-76.2792816
ot_13,42.8589745,-76.2888336
ot_14,42.8660507,-76.2974777
ot_15,42.8736038,-76.3053894
ot_16,42.8826752,-76.3109665
